ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
13573779,2,6,none,left,413,81,543,good
13573779,2,7,none,left,352,69,612,good
13573779,2,8,none,right,412,9,621,good
13573779,2,9,none,top,450,14,635,good
13573779,2,10,none,bottom,346,77,712,good
13573779,2,11,none,bottom,355,89,801,good
13573779,2,12,none,bottom,371,69,870,good
13573779,2,13,none,left,355,73,943,good
13573779,2,14,none,left,339,72,1015,good
13573779,2,15,none,bottom,1050,80,1095,good
13573779,2,16,none,bottom,321,79,1174,good
13573779,2,17,none,left,484,46,1220,good
13573779,2,18,bottom,right,432,20,1240,good
13573779,2,19,bottom,bottom,337,75,1315,good
13573779,2,20,bottom,bottom,377,88,1403,good
13573779,2,21,bottom,bottom,370,86,1489,good
13573779,2,22,bottom,bottom,490,90,1579,good
13573779,2,23,bottom,bottom,368,83,1662,good
13573779,2,24,bottom,bottom,352,73,1735,good
13573779,2,25,bottom,bottom,391,64,1799,good
13573779,2,26,bottom,left,352,51,1850,good
13573779,2,27,bottom,top,330,6,1856,good
13573779,2,28,bottom,right,601,32,1888,good
13573779,2,29,bottom,bottom,1573,55,1943,good
13573779,2,30,bottom,left,1474,49,1992,good
13573779,3,1,none,bottom,0,8,8,good
13573779,3,2,none,left,315,18,26,good
13573779,3,3,none,right,340,55,81,good
13573779,3,4,none,top,336,2,83,good
13573779,3,5,none,right,322,61,144,good
13573779,3,6,none,right,351,61,205,good
13573779,3,7,none,right,363,51,256,good
13573779,3,8,none,right,299,57,313,good
13573779,3,9,none,right,299,53,366,good
13573779,3,10,none,right,276,41,407,good
13573779,3,11,none,left,297,25,432,good
13573779,3,12,none,bottom,306,35,467,good
13573779,3,13,none,right,1195,38,505,good
13573779,3,14,none,top,300,21,526,good
13573779,3,15,none,bottom,315,36,562,good
13573779,3,16,none,left,307,26,588,good
13573779,3,17,none,right,283,32,620,good
13573779,3,18,none,bottom,331,50,670,good
13573779,3,19,top,bottom,1074,50,720,good
13573779,3,20,top,top,784,43,763,good
13573779,3,21,top,bottom,498,61,824,good
13573779,3,22,top,bottom,338,36,860,good
13573779,3,23,top,bottom,306,46,906,good
13573779,3,24,top,bottom,346,48,954,good
13573779,3,25,top,bottom,368,48,1002,good
13573779,3,26,top,bottom,563,56,1058,good
13573779,3,27,top,bottom,346,56,1114,good
13573779,3,28,top,bottom,329,58,1172,good
13573779,3,29,top,bottom,355,60,1232,good
13573779,3,30,top,bottom,514,51,1283,good
14366705,1,1,none,right,381383,3,3,good
14366705,1,2,none,right,1447,26,29,good
